product_name,PID（US）
厨房用品-万圣节保温杯,1729400574557262222
箱包-帆布手提包,1729400346960957504
鞋靴-棉拖,1729394237832401884
运动和户外-腹健轮,1729396720842871403
手机数码-手机led灯,1729398638503498021
手机数码-蓝牙耳机,1729398731075063810
时尚配饰-假发,1729391765668401449
运动和户外-腹健轮,1729389777729982620
运动和户外-腹健轮,1729389868956749980
运动和户外-腹健轮,1729392678865638127
厨房用品-保温杯,1729389874815799694
厨房用品-保温杯,1729388819516462077
运动户外-握力器,1729388658442015546
女装-套头衫,1729389441771278866
厨房用品-玻璃茶壶,1729388889804017838
手机数码-联想 TH30 无线蓝牙耳机,1729388961812287490
运动和户外-腹健轮,1729389006310707351
手机数码-联想 K30蓝牙音箱,1729388297490173954
厨房用品-玻璃茶壶,1729396892165050630
办公用品-活页笔记本,1729387731929371370
汽车摩托-汽车维修工具箱,1729388308418498815
内衣睡衣-吊带睡裤,1729388891491766544
厨房用品-铲冰块模具,1729386991488241838
运动和户外-腹健轮,1729389596469662353
内衣睡衣-吊带睡裤,1729388299487580563
内衣睡衣-连衣裙衬裙,1729387249518415916
家用电器-电动榨汁机,1729386016961302580
运动和户外-腹健轮,1729392452235858209
厨房用品-玻璃杯,1729386151427150020
美妆个护-腮红,1729385967379583050
手机数码-蓝牙耳机,1729388590762070018
手机数码-蓝牙耳机,1729388672276533250
居家日用-拖把套装,1729388984665084825
运动户外-充电手电筒,1729386007074280197
美妆个护-电动理发刀套件,1729388549463118696
美妆个护-眼霜,1729391875246362895
运动户外-水杯,1729385972057740069
汽车摩托-汽车手扶垫,1729386020252127279
女装-女式运动裤,1729386152574620396
运动和户外-腹健轮,1729386193123578007
厨房用品-厨房收纳架,1729386025538130614
女装-T恤,1729386017134514328
厨房用品-西瓜刀,1729386200403841684
家庭建材-星空夜灯,1729386002957701265
厨房用品-鸡蛋收纳盒,1729386199856091796
厨房用品-厨房套餐,1729386149273113584
美妆个护-假睫毛,1729386005355925627
运动户外-足球袜,1729387247630390269
内衣睡衣-吊带睡裤,1729386019679932819
女装-T恤,1729385970852991884
运动和户外-腹健轮,1729386199789899927
箱包-帆布手提包,1729386006858469554
运动户外-瑜伽裤,1729386020856894047
运动户外-瑜伽裤,1729385975684895327
内衣睡衣-吊带睡裤,1729386012646936979
美妆个护-化妆收纳袋,1729386151330812656
手机数码-手机膜,1729386004518899971
内衣睡衣-吊带睡裤,1729386003988844947
美妆个护-眼霜,1729385978561401780
家用电器-电动洗地机,1729386004295881061
美妆个护-化妆镜,1729385966736412885
宠物用品-猫砂盆,1729385976689103261
美妆个护-眼霜,1729386004789236369
手机数码-蓝牙耳机,1729385967356318106
手机数码-蓝牙耳机,1729385972084478362
手机数码-蓝牙耳机,1729386003567579546
运动户外-俯卧撑板,1729387258350899414
厨房用品-保温杯,1729386014946857981
厨房用品-保温杯,1729385966931055613
厨房用品-保温杯,1729386194359783843
居家日用-清洁刷,1729386003331256880
运动和户外-腹健轮,1729386199830794391
厨房用品-保温杯,1729386199505539693
汽车摩托-迷你吸尘器,1729385966550422378
女装-背心直筒裤,1729386004850709380
女装-背心直筒裤,1729386004736414596
厨房用品-碗碟沥水架,1729386199643099830
厨房用品-碗碟沥水架,1729385972538774198
女装-套头衫,1729386199842984082
美妆个护-卷发棒,1729386193985049328
办公文具-笔记本,1729386004721340452
厨房用品-保温杯,1729385966932889640
厨房用品-保温杯,1729386005817561128
家庭建材-星空夜灯,1729386150604214327
家庭建材-星空夜灯,1729386195227676727
厨房用品-保温杯,1729386156045144726
厨房用品-零食盒,1729386199651553685
厨房用品-保温杯,1729386003199791943
美妆个护-假睫毛,1729386003289051784
厨房用品-保温杯,1729386003815568199
厨房用品-保温杯,1729385975408595676
厨房用品-炊具套餐,1729388308262130443
厨房用品-午餐盒,1729386199646573129
厨房用品-食物储藏盒,1729386004794348105
女装-连体裤,1729385966424068764
居家日用-簸箕套装,1729386152599720142